wav, nm;  tau[toa:10km];  tau[toa:2km];  tau[toa:0km]
311.1  7.442567e-07  5.694913e-06  9.267055e-06
311.1  7.465329e-07  5.742630e-06  9.425371e-06
311.1  7.441450e-07  6.047284e-06  9.762054e-06
311.2  7.786002e-07  5.948722e-06  9.540795e-06
311.2  7.706037e-07  5.731499e-06  9.546151e-06
311.2  7.873425e-07  6.298898e-06  1.045785e-05
311.3  8.475819e-07  6.484888e-06  1.059829e-05
311.3  9.158699e-07  6.663190e-06  1.076604e-05
311.4  8.939444e-07  6.784692e-06  1.072008e-05
311.4  9.077974e-07  7.282197e-06  1.173920e-05
311.4  9.345996e-07  7.130589e-06  1.174815e-05
311.5  9.193503e-07  7.292765e-06  1.190701e-05
311.5  9.208868e-07  7.376846e-06  1.204254e-05
311.6  1.003322e-06  7.754093e-06  1.257073e-05
311.6  1.024338e-06  7.840197e-06  1.286197e-05
311.6  1.065765e-06  7.991429e-06  1.317136e-05
311.7  1.033721e-06  8.208948e-06  1.349714e-05
311.7  1.102662e-06  8.299806e-06  1.349749e-05
311.7  1.102812e-06  8.196334e-06  1.348111e-05
311.8  1.123085e-06  8.919436e-06  1.429225e-05
311.8  1.183374e-06  9.164123e-06  1.491540e-05
311.9  1.214702e-06  9.072861e-06  1.463953e-05
311.9  1.158987e-06  9.456084e-06  1.507754e-05
311.9  1.235674e-06  9.602778e-06  1.573123e-05
312.0  1.213554e-06  9.753720e-06  1.577015e-05
312.0  1.348058e-06  1.002889e-05  1.624013e-05
312.0  1.308928e-06  1.037233e-05  1.669768e-05
312.1  1.325255e-06  1.043941e-05  1.673822e-05
312.1  1.403009e-06  1.086450e-05  1.746625e-05
312.2  1.413736e-06  1.099683e-05  1.802585e-05
312.2  1.439185e-06  1.141309e-05  1.871987e-05
312.2  1.457215e-06  1.139348e-05  1.832076e-05
312.3  1.494600e-06  1.182870e-05  1.928177e-05
312.3  1.535561e-06  1.213327e-05  1.944506e-05
312.3  1.575875e-06  1.247569e-05  2.009810e-05
312.4  1.673089e-06  1.309636e-05  2.128639e-05
312.4  1.702404e-06  1.339719e-05  2.148977e-05
312.5  1.755152e-06  1.343116e-05  2.190743e-05
312.5  1.847016e-06  1.411338e-05  2.253599e-05
312.5  1.871890e-06  1.424070e-05  2.279899e-05
312.6  1.890682e-06  1.467862e-05  2.344152e-05
312.6  1.926518e-06  1.506026e-05  2.407301e-05
312.7  2.009823e-06  1.537685e-05  2.457775e-05
312.7  2.110202e-06  1.610951e-05  2.573317e-05
312.7  2.109709e-06  1.605716e-05  2.573565e-05
312.8  2.156868e-06  1.641943e-05  2.633520e-05
312.8  2.228237e-06  1.672283e-05  2.660545e-05
312.8  2.264873e-06  1.721064e-05  2.757910e-05
312.9  2.261451e-06  1.715804e-05  2.736550e-05
312.9  2.271077e-06  1.791566e-05  2.820338e-05
313.0  2.461007e-06  1.790660e-05  2.857158e-05
313.0  2.398224e-06  1.847777e-05  2.929289e-05
313.0  2.441522e-06  1.849870e-05  2.944947e-05
313.1  2.512684e-06  1.913832e-05  3.049306e-05
313.1  2.543619e-06  1.924358e-05  3.054252e-05
313.1  2.614923e-06  1.946256e-05  3.105654e-05
313.2  2.624418e-06  1.994611e-05  3.178921e-05
313.2  2.663117e-06  2.001963e-05  3.161919e-05
313.3  2.776334e-06  2.067466e-05  3.280194e-05
313.3  2.759580e-06  2.068713e-05  3.278758e-05
313.3  2.748291e-06  2.078047e-05  3.287654e-05
313.4  2.834148e-06  2.128108e-05  3.367110e-05
313.4  2.831608e-06  2.155648e-05  3.415003e-05
313.4  2.877048e-06  2.188086e-05  3.466738e-05
313.5  2.913009e-06  2.177054e-05  3.454743e-05
313.5  2.976681e-06  2.231138e-05  3.547648e-05
313.6  2.979523e-06  2.243170e-05  3.562886e-05
313.6  3.091891e-06  2.285002e-05  3.627369e-05
313.6  3.084127e-06  2.282336e-05  3.616428e-05
313.7  3.075750e-06  2.283473e-05  3.618601e-05
313.7  3.116793e-06  2.342979e-05  3.708638e-05
313.7  3.150032e-06  2.305422e-05  3.637819e-05
313.8  3.169826e-06  2.367458e-05  3.727377e-05
313.8  3.176025e-06  2.371496e-05  3.761245e-05
313.9  3.247465e-06  2.376921e-05  3.739926e-05
313.9  3.246069e-06  2.377175e-05  3.740649e-05
313.9  3.276336e-06  2.417839e-05  3.797075e-05
314.0  3.248467e-06  2.397667e-05  3.779326e-05
314.0  3.283350e-06  2.429807e-05  3.832048e-05
314.0  3.247958e-06  2.385236e-05  3.757026e-05
314.1  3.278176e-06  2.419008e-05  3.828571e-05
314.1  3.246184e-06  2.410670e-05  3.803435e-05
314.2  3.218179e-06  2.396961e-05  3.802025e-05
314.2  3.279983e-06  2.404694e-05  3.808826e-05
314.2  3.224426e-06  2.401987e-05  3.787522e-05
314.3  3.276287e-06  2.411780e-05  3.816893e-05
314.3  3.192418e-06  2.399673e-05  3.814289e-05
314.3  3.194017e-06  2.411281e-05  3.828508e-05
314.4  3.220615e-06  2.380713e-05  3.761717e-05
314.4  3.222789e-06  2.420958e-05  3.817592e-05
314.5  3.149974e-06  2.379167e-05  3.779303e-05
314.5  3.163881e-06  2.402452e-05  3.807541e-05
314.5  3.148627e-06  2.394271e-05  3.809723e-05
314.6  3.147745e-06  2.366990e-05  3.771552e-05
314.6  3.073561e-06  2.360301e-05  3.730407e-05
314.6  3.058039e-06  2.328929e-05  3.725759e-05
314.7  3.003369e-06  2.314436e-05  3.686491e-05
314.7  2.935628e-06  2.251691e-05  3.580722e-05
314.8  2.890446e-06  2.209657e-05  3.533032e-05
314.8  2.814805e-06  2.153147e-05  3.446396e-05
314.8  2.767833e-06  2.132045e-05  3.437746e-05
314.9  2.648298e-06  2.078729e-05  3.338948e-05
